City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,lompoc,34.6391,-120.4579,14.32,88,100,4.02,US,1684557827
126,katabu,-4.9333,122.5167,30.28,58,97,1.11,ID,1684557827
127,hamilton,39.1834,-84.5333,19.95,80,100,2.24,US,1684557695
128,novyy urengoy,66.0833,76.6333,7.29,71,99,5.59,RU,1684557736
129,bel ombre,-4.6167,55.4167,28.91,79,40,4.63,SC,1684557827
130,kabatas,40.75,37.45,14.35,82,94,0.87,TR,1684557827
131,aykhal,66.0,111.5,1.55,88,100,8.61,RU,1684557782
132,oroqen zizhiqi,50.5667,123.7167,15.75,38,100,6.42,CN,1684557827
133,dudinka,69.4058,86.1778,1.46,98,100,7.39,RU,1684557828
134,patong,7.8961,98.2966,29.45,99,99,6.42,TH,1684557828
135,port saint john's,-31.6229,29.5448,13.52,79,4,2.89,ZA,1684557828
136,quellon,-43.1167,-73.6167,5.14,87,20,1.54,CL,1684557828
137,cockburn town,21.4612,-71.1419,26.87,81,54,7.46,TC,1684557828
138,cabo san lucas,22.8909,-109.9124,24.78,63,100,0.89,MX,1684557663
139,markovo,57.3206,107.0881,15.4,29,9,3.16,RU,1684557828
140,rio grande,-32.035,-52.0986,12.75,87,59,2.18,BR,1684557828
141,leava,-14.3,-178.1667,29.41,74,99,1.94,WF,1684557829
142,puerto carreno,6.189,-67.4859,26.28,85,100,1.81,CO,1684557829
143,dhamar,14.5427,44.4051,18.51,42,25,1.21,YE,1684557829
144,skelleftea,64.7507,20.9528,11.2,62,31,1.54,SE,1684557829
145,ojocaliente,21.8775,-102.6754,18.08,57,100,4.62,MX,1684557829
146,weno,7.4515,151.8468,26.97,94,100,4.63,FM,1684557829
147,indramayu,-6.3264,108.32,29.42,67,98,3.95,ID,1684557829
148,holualoa,19.6228,-155.9522,25.91,80,40,4.12,US,1684557830
149,marco island,25.9363,-81.7157,27.22,81,100,0.0,US,1684557830
150,lihue,21.9789,-159.3672,25.77,78,100,0.0,US,1684557830
151,utrik,11.2278,169.8474,27.77,80,23,4.99,MH,1684557830
152,saipan,15.1355,145.701,32.39,100,40,7.2,MP,1684557830
153,whitehorse,60.7161,-135.0538,16.43,40,75,7.72,CA,1684557830
154,humahuaca,-23.2054,-65.3505,9.99,36,98,0.39,AR,1684557830
155,sinop,41.7711,34.8709,10.24,79,76,1.32,TR,1684557830
156,esquel,-42.9,-71.3167,0.47,86,92,1.55,AR,1684557831
157,singleton,-32.5667,151.1833,20.55,36,5,4.92,AU,1684557831
158,waiuku,-37.25,174.75,16.81,88,100,11.08,NZ,1684557831
159,luderitz,-26.6481,15.1594,12.05,53,0,5.1,NA,1684557831
160,egilsstadir,65.2653,-14.3948,8.95,46,40,4.63,IS,1684557831
161,merizo village,13.2658,144.6691,32.31,78,98,5.26,GU,1684557831
162,port alfred,-33.5906,26.891,12.75,70,43,3.25,ZA,1684557831
163,la'ie,21.6477,-157.9253,27.98,79,70,0.97,US,1684557831
164,karratha,-20.7377,116.8463,26.14,25,70,10.38,AU,1684557832
165,mbanza-ngungu,-5.25,14.8667,20.25,98,100,1.3,CD,1684557832
166,udachny,66.4167,112.4,5.25,69,100,8.12,RU,1684557832
167,gwanda,-20.9333,29.0,15.12,38,0,2.19,ZW,1684557832
168,hami,42.8,93.45,23.33,9,99,2.42,CN,1684557560
169,mohr,54.3528,9.7167,10.62,84,71,4.12,DE,1684557832
170,guayaramerin,-10.8368,-65.3614,23.75,83,11,0.95,BO,1684557832
171,argo,37.6333,22.7333,19.32,50,97,1.34,GR,1684557832
172,la ligua,-32.4524,-71.2311,13.77,79,100,0.61,CL,1684557833
173,marahra,27.7333,78.5833,38.62,14,0,3.94,IN,1684557833
174,petawawa,45.9001,-77.3328,10.33,100,100,1.08,CA,1684557833
175,banfora,10.6333,-4.7667,25.8,78,100,1.12,BF,1684557833
176,pekan,3.4836,103.3996,32.06,53,99,0.93,MY,1684557833
177,tsiombe,-25.3,45.4833,20.86,71,8,3.81,MG,1684557833
178,kourou,5.1552,-52.6478,24.03,93,97,3.48,GF,1684557833
179,steinkjer,64.193,11.3851,8.07,73,83,1.34,NO,1684557833
180,bom jesus da lapa,-13.255,-43.4181,20.25,61,0,1.17,BR,1684557834
181,lethem,3.3803,-59.7968,24.19,94,98,3.06,GY,1684557834
182,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,66,40,3.09,ID,1684557834
183,serov,59.6033,60.5787,18.78,28,30,2.65,RU,1684557604
184,georgetown,5.4112,100.3354,32.97,62,20,2.57,MY,1684557834
185,desaguadero,-16.5656,-69.0417,6.44,69,3,1.32,PE,1684557834
186,ganghwa-gun,37.7472,126.4856,25.01,61,82,6.27,KR,1684557835
187,bokoro,12.3807,17.0568,32.26,32,91,2.92,TD,1684557835
188,remire-montjoly,4.9167,-52.2667,24.02,94,75,0.0,GF,1684557835
189,novyy urgal,51.0736,132.5642,17.06,44,100,3.89,RU,1684557835
190,urangan,-25.3,152.9,20.01,47,0,3.92,AU,1684557835
191,mount isa,-20.7333,139.5,21.87,18,2,6.17,AU,1684557835
192,alesund,62.4723,6.1549,12.64,74,20,5.66,NO,1684557835
193,omachi,36.5,137.8667,24.86,61,39,2.02,JP,1684557835
194,lexington,37.9887,-84.4777,19.94,74,75,2.57,US,1684557250
195,bandarbeyla,9.4942,50.8122,29.39,72,29,6.67,SO,1684557836
196,saint-pierre,-21.3393,55.4781,26.98,57,0,3.6,RE,1684557836
197,airuk,7.2772,168.8203,28.58,79,66,5.09,MH,1684557836
198,westport,41.1415,-73.3579,15.04,85,0,0.45,US,1684557782
199,pinhao,-25.6956,-51.6597,9.07,69,3,1.25,BR,1684557836
200,cabedelo,-6.9811,-34.8339,24.37,86,40,3.65,BR,1684557837
201,goba,7.0167,39.9833,14.63,62,37,0.12,ET,1684557837
202,bayganin,48.6947,55.8742,18.82,56,38,1.48,KZ,1684557837
203,sorong,-0.8833,131.25,29.75,60,78,6.2,ID,1684557837
204,kharkhorin,47.1975,102.8238,7.13,25,45,8.81,MN,1684557837
205,geraldton,-28.7667,114.6,25.23,22,1,10.29,AU,1684557837
206,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,93,100,4.0,RU,1684557837
207,khandyga,62.6667,135.6,6.93,61,100,3.26,RU,1684557837
208,nantucket,41.2835,-70.0995,13.33,97,100,3.6,US,1684557838
209,galliano,29.4422,-90.2992,26.0,88,0,1.54,US,1684557838
210,alice springs,-23.7,133.8833,16.75,34,0,7.2,AU,1684557540
211,chiang klang,19.2938,100.8617,37.92,31,0,1.2,TH,1684557838
212,sydney mines,46.2367,-60.2177,7.6,80,20,7.72,CA,1684557838
213,talnakh,69.4865,88.3972,1.23,99,100,6.37,RU,1684557839
214,nizhniy odes,63.6445,54.856,8.87,82,100,2.82,RU,1684557839
215,aksu,41.1231,80.2644,24.36,23,74,3.53,CN,1684557839
216,yeed,4.55,43.0333,26.5,65,41,5.91,SO,1684557839
217,le port,-20.9373,55.2919,27.16,81,0,1.3,RE,1684557839
218,midvagur,62.0511,-7.1939,9.46,100,100,5.14,FO,1684557839
219,ghat,24.9647,10.1728,24.0,13,57,2.79,LY,1684557840
220,tidjikja,18.5564,-11.4271,25.61,14,90,4.46,MR,1684557769
221,nieuw amsterdam,5.8833,-55.0833,26.68,89,52,3.58,SR,1684557840
222,natal,-5.795,-35.2094,25.12,100,75,3.09,BR,1684557840
223,qaqortoq,60.7167,-46.0333,-0.4,82,92,3.16,GL,1684557840
224,seven pagodas,12.6264,80.1722,34.03,64,26,6.18,IN,1684557840
225,puerto baquerizo moreno,-0.9,-89.6,25.48,86,75,5.71,EC,1684557840
226,lake monticello,37.9232,-78.3347,19.53,88,57,0.38,US,1684557840
227,yuzhno-kurilsk,44.0306,145.8556,7.57,84,18,3.04,RU,1684557841
228,lahaina,20.8783,-156.6825,27.19,81,49,1.43,US,1684557841
229,ts'alenjikha,42.6044,42.0682,17.96,85,78,1.13,GE,1684557841
230,bolivar,37.6145,-93.4105,13.42,95,81,2.62,US,1684557841
231,gorontalo,0.5412,123.0595,31.05,62,82,3.23,ID,1684557841
232,nguigmi,14.2495,13.1092,30.96,27,48,2.99,NE,1684557841
233,minas de marcona,-15.2119,-75.1103,14.57,88,57,5.04,PE,1684557841
234,sinabang,2.4803,96.3801,28.64,74,98,2.69,ID,1684557841
235,port lincoln,-34.7333,135.8667,15.75,60,36,7.98,AU,1684557842
236,san rafael,-34.6177,-68.3301,9.04,53,22,1.9,AR,1684557842
237,rikaze,29.25,88.8833,14.81,18,4,1.26,CN,1684557842
238,enewetak,11.3474,162.3373,27.67,79,84,6.5,MH,1684557842
239,sitka,57.0531,-135.33,10.94,87,100,3.09,US,1684557843
240,saldanha,-33.0117,17.9442,7.03,83,12,1.51,ZA,1684557843
241,badger,64.8,-147.5333,26.14,19,0,4.12,US,1684557808
242,mahdia,35.5047,11.0622,16.97,82,100,8.19,TN,1684557843
243,hita,33.3167,130.9333,26.58,51,25,2.5,JP,1684557844
244,port alberni,49.2413,-124.8028,19.96,64,72,0.45,CA,1684557844
245,pemangkat,1.1667,108.9667,30.43,68,54,5.4,ID,1684557844
246,cuyo,10.8525,121.0086,26.21,81,100,3.16,PH,1684557844
247,saint-francois,46.4154,3.9054,9.26,93,0,1.03,FR,1684557845
248,codrington,-38.2667,141.9667,12.78,64,84,7.51,AU,1684557845
249,horta,38.5333,-28.6333,16.68,80,59,3.58,PT,1684557845
250,duck lake,52.8168,-106.2344,15.5,47,58,3.35,CA,1684557845
251,prince rupert,54.3161,-130.3201,12.05,88,0,3.6,CA,1684557846
252,marataizes,-21.0433,-40.8244,17.2,83,7,3.72,BR,1684557846
253,malango,-2.9627,119.9001,27.11,64,99,1.77,ID,1684557846
254,tual,-5.6667,132.75,27.06,70,59,4.81,ID,1684557846
255,bhum,18.4667,75.6667,36.62,17,1,5.96,IN,1684557846
256,laurel,39.0993,-76.8483,16.7,84,0,2.57,US,1684557847
257,atlantic beach,30.3344,-81.3987,24.04,85,0,4.63,US,1684557717
258,tibu,8.639,-72.7358,24.38,99,100,0.85,CO,1684557847
259,kapit,2.0167,112.9333,35.4,46,64,0.38,MY,1684557847
260,uturoa,-16.7333,-151.4333,28.0,72,7,1.71,PF,1684557847
261,phang nga,8.4509,98.5298,28.02,57,97,4.1,TH,1684557848
262,amahai,-3.3333,128.9167,27.46,61,98,2.55,ID,1684557848
263,kirakira,-10.4544,161.9205,27.15,86,100,4.56,SB,1684557848
264,chui,-33.6971,-53.4616,16.7,90,99,1.81,UY,1684557848
265,antofagasta,-23.65,-70.4,17.6,79,100,2.69,CL,1684557726
266,moyale,3.5167,39.0584,20.65,81,5,2.96,KE,1684557849
267,ruzayevka,54.0639,44.9509,12.06,94,100,1.95,RU,1684557849
268,ghadamis,30.1337,9.5007,17.16,63,1,8.87,LY,1684557849
269,fort morgan,40.2503,-103.8,14.59,93,0,2.06,US,1684557777
270,senillosa,-39.0,-68.4167,1.88,34,4,3.58,AR,1684557849
271,olyokminsk,60.3736,120.4264,13.87,30,72,5.99,RU,1684557850
272,carbonear,47.7332,-53.2148,6.9,73,100,7.19,CA,1684557646
273,spirovo,57.419,34.9766,9.05,66,98,3.32,RU,1684557850
274,las toscas,-28.3529,-59.258,20.1,67,95,2.05,AR,1684557850
275,afaahiti,-17.75,-149.2833,26.93,80,22,2.86,PF,1684557851
276,sao miguel do tapuio,-5.5036,-41.3233,22.76,82,88,1.48,BR,1684557851
277,newman,37.3138,-121.0208,25.13,59,3,1.57,US,1684557851
278,pochinki,54.6988,44.8668,11.76,95,100,1.94,RU,1684557851
279,la foa,-21.7108,165.8276,22.75,55,19,4.11,NC,1684557851
280,ugoofaaru,5.6667,73.0,28.61,66,31,0.23,MV,1684557852
281,el nido,11.1858,119.3956,26.48,86,100,2.98,PH,1684557852
282,amalapuram,16.5833,82.0167,35.06,52,75,3.58,IN,1684557852
283,flying fish cove,-10.4217,105.6791,28.82,74,75,6.69,CX,1684557852
284,crane,31.3974,-102.3501,20.68,72,100,10.33,US,1684557852
285,iskateley,67.6803,53.1512,4.88,60,6,3.38,RU,1684557853
286,bereznik,62.8551,42.7072,10.99,52,46,2.83,RU,1684557853
287,bloemfontein,-29.1211,26.214,-0.29,86,0,0.0,ZA,1684557616
288,tamanrasset,22.785,5.5228,17.95,10,100,2.57,DZ,1684557853
289,macau,22.2006,113.5461,31.89,84,40,5.14,MO,1684557854
290,luanda,-8.8368,13.2343,25.0,78,40,0.51,AO,1684557780
291,freetown,8.484,-13.2299,25.67,82,100,0.67,SL,1684557854
292,kualakapuas,-3.0091,114.3876,33.61,48,68,1.54,ID,1684557854
293,bousso,10.4795,16.7117,30.01,49,100,3.66,TD,1684557854
294,el granada,37.5027,-122.4694,15.56,88,100,6.69,US,1684557754
295,birobidzhan,48.8,132.95,13.29,79,100,4.37,RU,1684557855
296,barra do corda,-5.5,-45.25,22.28,97,14,1.33,BR,1684557855
297,skovorodino,53.9833,123.9167,20.42,20,23,3.83,RU,1684557855
298,kolonia,50.9333,6.95,12.76,72,91,2.24,DE,1684557855
299,bengkulu,-3.8004,102.2655,29.4,66,30,3.39,ID,1684557856
300,lai chau,22.3997,103.4517,32.66,34,1,1.96,VN,1684557856
301,kyzylorda,44.8528,65.5092,20.01,64,20,3.0,KZ,1684557681
302,guanica,17.9716,-66.908,25.66,62,86,4.35,PR,1684557856
303,carutapera,-1.195,-46.02,24.75,95,98,2.4,BR,1684557856
304,pestovo,58.5938,35.8024,9.7,61,91,3.54,RU,1684557856
305,ilulissat,69.2167,-51.1,-1.99,93,100,9.77,GL,1684557857
306,necochea,-38.5473,-58.7368,10.98,52,4,4.87,AR,1684557812
307,jackson,42.4165,-122.8345,25.93,47,0,4.12,US,1684557857
308,la ronge,55.1001,-105.2842,12.14,54,100,0.51,CA,1684557857
309,oranjemund,-28.55,16.4333,10.3,78,0,2.69,NA,1684557858
310,ilebo,-4.3167,20.5833,21.68,99,100,0.36,CD,1684557858
311,tateyama,34.9833,139.8667,18.25,90,100,8.52,JP,1684557858
312,kidal,18.4411,1.4078,29.52,16,93,5.07,ML,1684557858
313,hasaki,35.7333,140.8333,21.22,91,100,11.72,JP,1684557858
314,paso de los toros,-32.8167,-56.5167,14.65,96,100,2.92,UY,1684557859
315,kwang binh,17.4833,106.6,35.56,50,7,2.11,VN,1684557859
316,isangel,-19.55,169.2667,26.06,73,100,5.14,VU,1684557859
317,santanyi,39.3546,3.1291,15.45,75,92,9.0,ES,1684557859
318,ha dong,20.9725,105.7772,32.01,46,35,1.72,VN,1684557859
319,vilyuchinsk,52.9306,158.4028,4.15,99,100,1.31,RU,1684557860
320,lazaro cardenas,17.9583,-102.2,27.49,75,100,1.74,MX,1684557860
321,vizinga,61.0749,50.1031,12.92,90,100,3.59,RU,1684557860
322,acajutla,13.5928,-89.8275,28.18,78,100,3.19,SV,1684557860
323,zhangye,38.9342,100.4517,18.32,13,86,0.66,CN,1684557861
324,pacocha,-17.5833,-71.3333,18.74,88,93,1.43,PE,1684557861
325,nova vicosa,-17.8919,-39.3719,22.26,74,2,4.8,BR,1684557861
326,kamalpur,24.2,91.8333,33.6,53,12,2.38,IN,1684557861
327,moose jaw,50.4001,-105.5344,14.14,47,26,4.12,CA,1684557795
328,n'dalatando,-9.2978,14.9116,18.19,98,95,0.24,AO,1684557862
329,lae,-6.7221,146.9847,31.37,85,100,1.22,PG,1684557862
330,nanyang,32.9947,112.5328,34.69,30,1,5.97,CN,1684557862
331,chumphon,10.3333,98.8333,29.49,65,82,3.73,TH,1684557862
332,okhotsk,59.3833,143.3,3.79,82,31,6.04,RU,1684557863
333,ha'il,27.5219,41.6907,25.01,29,0,3.09,SA,1684557863
334,iquique,-20.2208,-70.1431,19.02,78,100,0.56,CL,1684557721
335,tolanaro,-25.0319,46.9987,19.04,82,20,1.03,MG,1684557863
336,ust-nera,64.5667,143.2,8.01,40,0,0.47,RU,1684557864
337,dahlonega,34.5326,-83.9849,19.06,92,19,1.32,US,1684557864
338,bereeda,11.8704,51.0579,30.87,68,50,3.41,SO,1684557864
339,catio,11.2833,-15.25,26.02,72,89,1.84,GW,1684557864
340,taytay,14.5678,121.1394,31.7,83,100,1.34,PH,1684557864
